bar;item;price
Checkered Flag Sports Bar;Burger Sliders;11.86
Checkered Flag Sports Bar;Chilli;12.0
Checkered Flag Sports Bar;Hot Wings;12.38
Checkered Flag Sports Bar;Hot Dogs;13.31
Checkered Flag Sports Bar;Soft Pretzel;14.38
Cheers Wine & Spirits;Southpaw Light;5.05
Cheers Wine & Spirits;Michelob Amber Bock;5.94
Cheers Wine & Spirits;Brooklyn Bel Air Sour;6.09
Cheers Wine & Spirits;Melvin 2x4 Double IPA;6.18
Cheers Wine & Spirits;J. Wakefield Miami Madness;8.05
Cheers Wine & Spirits;Wicked Weed Black Angel;8.13
Cheers Wine & Spirits;Original Premium Lager Dog;9.03
Cheers Wine & Spirits;Bell's Two-Hearted Ale;9.27
Cheers Wine & Spirits;Russian River STS;9.61
Cheers Wine & Spirits;Deviled Eggs;12.41
Cheers Wine & Spirits;Pizza;12.47
Cheers Wine & Spirits;Chilli;12.53
Cheers Wine & Spirits;Mozzarella Sticks;14.23
Cheers Wine & Spirits;Onion Rings;14.38
Cheers Wine & Spirits;Nachos;14.79
Chet's Place;Suarez Family Palatine Pils;5.55
Chet's Place;J. Wakefield Miami Madness;5.77
Chet's Place;Wicked Weed Black Angel;6.72
Chet's Place;Blue Moon;7.0
Chet's Place;New Belgium La Folie;7.29
Chet's Place;Michelob Golden Draft;7.44
Chet's Place;Russian River STS;7.8
Chet's Place;Zima;8.12
Chet's Place;Chuckanut Kolsch Style;9.23
Chet's Place;Original Premium Lager;9.56
Chet's Place;Potato Skins;10.88
Chet's Place;Deviled Eggs;11.28
Chet's Place;Roasted Cauliflower;12.58
Chet's Place;Artichoke Dip;12.64
Chet's Place;Cheese Fries;13.61
Chet's Place;Buffalo Wings;14.01
Chet's Place;Hot Wings;14.13
Chet's Place;Nachos;14.58
Chet's Place;Quesadillas;14.7
Chet's Place;Soft Pretzel;14.9
Chippendales Entertainment;Hefeweizen;5.06
Chippendales Entertainment;Michelob ULTRA;6.16
Chippendales Entertainment;Michelob Amber Bock;6.54
Chippendales Entertainment;New Glarus Berliner Weiss;7.02
Chippendales Entertainment;Brooklyn Bel Air Sour;7.38
Chippendales Entertainment;Trilliul Vicinity;7.41
Chippendales Entertainment;Summit Extra Pale Ale;7.6
Chippendales Entertainment;Michelob Golden Draft Light;7.7
Chippendales Entertainment;Original Premium Lager Dog;7.76
Chippendales Entertainment;Marz Diliner Weisse;8.08
Chippendales Entertainment;Lion Bridge Compensation;8.09
Chippendales Entertainment;Dogfish SeaQuench;8.14
Chippendales Entertainment;Hefeweizen Doppelbock;8.45
Chippendales Entertainment;Michelob Golden Draft;9.39
Chippendales Entertainment;Port Brewing Board Meeting;9.64
Chippendales Entertainment;Holy Mountain Misere Au Borinage;9.71
Chippendales Entertainment;Budweiser;9.97
Chippendales Entertainment;French Fries;10.41
Chippendales Entertainment;Maple-Glazed Peanuts;10.43
Chippendales Entertainment;Disco Fries;11.68
Chippendales Entertainment;Pizza;12.74
Chippendales Entertainment;Sloppy Joe;12.76
Chippendales Entertainment;Chilli;12.82
Chippendales Entertainment;Cheese Fries;13.16
Chippendales Entertainment;Hot Dogs;13.87
Chippendales Entertainment;Nachos;13.91
Chippendales Entertainment;Soft Pretzel;14.63
Chotard Recreation;ICEHOUSE;5.12
Chotard Recreation;Original Premium;5.23
Chotard Recreation;Trilliul Vicinity;5.37
Chotard Recreation;Carton Boat Beer;5.64
Chotard Recreation;Tired Hands SaisonHands;5.86
Chotard Recreation;Melvin 2x4 Double IPA;6.04
Chotard Recreation;Creamy Dark;6.55
Chotard Recreation;Michelob Golden Draft Light;6.61
Chotard Recreation;Wicked Weed Black Angel;6.67
Chotard Recreation;Blue Moon;6.67
Chotard Recreation;Marz Diliner Weisse;6.69
Chotard Recreation;Bell's Two-Hearted Ale;7.01
Chotard Recreation;Dogfish SeaQuench;7.24
Chotard Recreation;Live Oak Hefeweizen;7.27
Chotard Recreation;Port Brewing Board Meeting;7.53
Chotard Recreation;Zima;8.61
Chotard Recreation;Chuckanut Kolsch Style;8.74
Chotard Recreation;Extra Gold;8.92
Chotard Recreation;Deviled Eggs;10.2
Chotard Recreation;Maple-Glazed Peanuts;11.15
Chotard Recreation;Shrimp Cocktail;11.42
Chotard Recreation;Burger Sliders;12.39
Chotard Recreation;Mozzarella Sticks;13.1
Chotard Recreation;Cheese Fries;13.82
Chotard Recreation;Buffalo Wings;14.19
Chotard Recreation;Nachos;14.6
City View Tavern;Michelob ULTRA;5.1
City View Tavern;Michelob Amber Bock;6.04
City View Tavern;Carton Boat Beer;6.45
City View Tavern;Summit Extra Pale Ale;6.63
City View Tavern;Toppling Goliath King Sue;7.11
City View Tavern;Wicked Weed Black Angel;7.17
City View Tavern;Blue Moon;7.3
City View Tavern;Devils Backbone Vienna Lager;7.73
City View Tavern;Hefeweizen Doppelbock;7.82
City View Tavern;Live Oak Hefeweizen;9.12
City View Tavern;Michelob Golden Draft;9.17
City View Tavern;Port Brewing Board Meeting;9.17
City View Tavern;Holy Mountain Misere Au Borinage;9.97
City View Tavern;Popcorn;10.17
City View Tavern;Jalapeno Poppers;10.45
City View Tavern;Roasted Cauliflower;12.08
City View Tavern;Sloppy Joe;12.67
City View Tavern;Mozzarella Sticks;14.14
City View Tavern;Buffalo Wings;14.38
City View Tavern;Hot Dogs;14.99
Clark Street Ale House;Suarez Family Palatine Pils;5.72
Clark Street Ale House;Michelob Amber Bock;5.93
Clark Street Ale House;New Glarus Berliner Weiss;6.63
Clark Street Ale House;Toppling Goliath King Sue;6.66
Clark Street Ale House;Michelob Golden Draft Light;6.7
Clark Street Ale House;Wicked Weed Black Angel;6.9
Clark Street Ale House;Allagash White;7.72
Clark Street Ale House;Grimm Afterimage;9.29
Clark Street Ale House;Extra Gold;9.78
Clark Street Ale House;Popcorn;10.59
Clark Street Ale House;Pizza;10.81
Clark Street Ale House;Roasted Cauliflower;11.94
Clark Street Ale House;Pigs in a Blanket;12.18
Clark Street Ale House;Fried Pickles;12.29
Clark Street Ale House;Mozzarella Sticks;12.91
Clark Street Ale House;Cheese Fries;13.11
Clark Street Ale House;Hot Dogs;14.63
Club;ICEHOUSE;5.33
Club;Michelob ULTRA;5.37
Club;New Glarus Berliner Weiss;5.4
Club;Sauza Diablo;5.43
Club;Carton Boat Beer;5.91
Club;Summit Extra Pale Ale;5.91
Club;Toppling Goliath King Sue;6.44
Club;Creamy Dark;6.6
Club;Original Premium Lager Dog;6.62
Club;Blue Moon;7.43
Club;Sun King Afternoon Delight;8.07
Club;Marz Diliner Weisse;8.51
Club;Bell's Two-Hearted Ale;8.55
Club;Lion Bridge Compensation;8.57
Club;Devils Backbone Vienna Lager;8.77
Club;Allagash White;9.17
Club;Grimm Afterimage;9.77
Club;Zima;9.95
Club;Deviled Eggs;10.5
Club;Roasted Cauliflower;12.28
Club;Artichoke Dip;12.3
Club;Burger Sliders;12.52
Club;Chilli;12.56
Club;Pigs in a Blanket;12.61
Club;Cheese Fries;13.45
Club;Buffalo Wings;14.73
Club Boi;Hefeweizen;5.05
Club Boi;ICEHOUSE;5.54
Club Boi;Southpaw Light;5.71
Club Boi;The Bruery Mocha Wednesday;5.76
Club Boi;Melvin 2x4 Double IPA;5.84
Club Boi;Stolichnaya Citrona;6.31
Club Boi;New Belgium La Folie;6.91
Club Boi;Sun King Afternoon Delight;7.15
Club Boi;Live Oak Hefeweizen;8.59
Club Boi;Port Brewing Board Meeting;8.7
Club Boi;Russian River STS;8.97
Club Boi;Holy Mountain Misere Au Borinage;9.18
Club Boi;Zima;9.6
Club Boi;Zima Citrus;9.62
Club Boi;Original Premium Lager;9.81
Club Boi;Potato Skins;10.11
Club Boi;French Fries;10.93
Club Boi;Sloppy Joe;11.75
Club Boi;Fried Pickles;12.12
Club Boi;Cheese Fries;12.58
Club Boi;Hot Wings;13.94
Club Orleans;ICEHOUSE;5.12
Club Orleans;Original Premium;5.64
Club Orleans;Sauza Diablo;6.31
Club Orleans;Carton Boat Beer;6.35
Club Orleans;Melvin 2x4 Double IPA;6.57
Club Orleans;Toppling Goliath King Sue;6.95
Club Orleans;Michelob Golden Draft Light;7.05
Club Orleans;Wicked Weed Black Angel;7.2
Club Orleans;New Belgium La Folie;7.21
Club Orleans;Killian's;7.8
Club Orleans;Bud;7.85
Club Orleans;Live Oak Hefeweizen;7.93
Club Orleans;Burial Griddle;8.01
Club Orleans;Zima Citrus;8.16
Club Orleans;Original Premium Lager;8.16
Club Orleans;Budweiser;9.94
Club Orleans;Potato Skins;11.88
Club Orleans;French Fries;11.99
Club Orleans;Artichoke Dip;12.52
Club Orleans;Onion Rings;13.1
Club Orleans;Nachos;13.36
Club Salsa Oko;Southpaw Light;5.14
Club Salsa Oko;Suarez Family Palatine Pils;6.33
Club Salsa Oko;Carton Boat Beer;7.75
Club Salsa Oko;Original Premium Lager Dog;8.12
Club Salsa Oko;Devils Backbone Vienna Lager;8.37
Club Salsa Oko;Hefeweizen Doppelbock;8.78
Club Salsa Oko;Chuckanut Kolsch Style;9.35
Club Salsa Oko;Original Premium Lager;9.5
Club Salsa Oko;Potato Skins;10.9
Club Salsa Oko;French Fries;12.13
Club Salsa Oko;Shrimp Cocktail;12.66
Club Salsa Oko;Mozzarella Sticks;12.8
Club Salsa Oko;Hot Wings;13.7
Club Salsa Oko;Onion Rings;13.74
Club Salsa Oko;Quesadillas;14.65
Cochran Keating;Southpaw Light;6.44
Cochran Keating;The Bruery Mocha Wednesday;6.55
Cochran Keating;Sauza Diablo;6.76
Cochran Keating;J. Wakefield Miami Madness;6.81
Cochran Keating;Wicked Weed Black Angel;7.18
Cochran Keating;Sun King Afternoon Delight;7.44
Cochran Keating;Killian's;7.6
Cochran Keating;Dogfish SeaQuench;7.96
Cochran Keating;Allagash White;8.67
Cochran Keating;Michelob Golden Draft;9.51
Cochran Keating;Zima;9.77
Cochran Keating;Chuckanut Kolsch Style;9.95
Cochran Keating;French Fries;10.04
Cochran Keating;Popcorn;10.13
Cochran Keating;Disco Fries;10.33
Cochran Keating;Shrimp Cocktail;11.81
Cochran Keating;Sloppy Joe;11.81
Cochran Keating;Burger Sliders;13.12
Cochran Keating;Mozzarella Sticks;13.72
Cochran Keating;Hot Dogs;14.1
Cochran Keating;Nachos;14.8
Coconutz;Hefeweizen;5.07
Coconutz;Suarez Family Palatine Pils;6.6
Coconutz;Trilliul Vicinity;6.71
Coconutz;Summit Extra Pale Ale;7.0
Coconutz;Tired Hands SaisonHands;7.8
Coconutz;Sun King Afternoon Delight;8.06
Coconutz;Bell's Two-Hearted Ale;8.75
Coconutz;Devils Backbone Vienna Lager;8.84
Coconutz;Moonlight Death and Taxes;9.24
Coconutz;Jalapeno Poppers;10.08
Coconutz;Disco Fries;10.19
Coconutz;Roasted Cauliflower;10.21
Coconutz;Sloppy Joe;10.85
Coconutz;Mozzarella Sticks;11.49
Coconutz;Buffalo Wings;11.51
Coconutz;Hot Wings;13.64
Coconutz;Onion Rings;13.82
Coconutz;Quesadillas;14.47
Coconutz;Soft Pretzel;14.51
Colonial Inn;ICEHOUSE;5.06
Colonial Inn;New Glarus Berliner Weiss;5.12
Colonial Inn;Brooklyn Bel Air Sour;5.3
Colonial Inn;The Bruery Mocha Wednesday;5.47
Colonial Inn;Carton Boat Beer;5.53
Colonial Inn;Toppling Goliath King Sue;7.01
Colonial Inn;Creamy Dark;7.69
Colonial Inn;Blue Moon;8.07
Colonial Inn;Marz Diliner Weisse;8.43
Colonial Inn;Port Brewing Board Meeting;8.46
Colonial Inn;Burial Griddle;9.2
Colonial Inn;Zima Citrus;9.27
Colonial Inn;Popcorn;11.18
Colonial Inn;Roasted Cauliflower;12.94
Colonial Inn;Artichoke Dip;13.42
Colonial Inn;Onion Rings;14.31
Colonial Inn;Nachos;14.37
Comedy Cellar;Suarez Family Palatine Pils;5.02
Comedy Cellar;The Bruery Mocha Wednesday;5.13
Comedy Cellar;Trilliul Vicinity;5.68
Comedy Cellar;Carton Boat Beer;5.73
Comedy Cellar;Sun King Afternoon Delight;6.65
Comedy Cellar;Grimm Afterimage;7.19
Comedy Cellar;Chuckanut Kolsch Style;7.21
Comedy Cellar;Original Premium Lager;7.51
Comedy Cellar;Extra Gold;7.85
Comedy Cellar;Moonlight Death and Taxes;8.29
Comedy Cellar;Potato Skins;11.32
Comedy Cellar;Popcorn;12.16
Comedy Cellar;Shrimp Cocktail;12.25
Comedy Cellar;Burger Sliders;12.52
Comedy Cellar;Chilli;12.91
Comedy Cellar;Pigs in a Blanket;13.06
Comedy Cellar;Buffalo Wings;13.92
Comedy Cellar;Hot Wings;14.01
Comedy Cellar;Hot Dogs;14.74
Comedy Cellar;Soft Pretzel;14.91
Comedy Sportz;Southpaw Light;5.56
Comedy Sportz;Suarez Family Palatine Pils;5.71
Comedy Sportz;New Glarus Berliner Weiss;5.81
Comedy Sportz;Toppling Goliath King Sue;7.18
Comedy Sportz;Stolichnaya Citrona;8.06
Comedy Sportz;Marz Diliner Weisse;8.76
Comedy Sportz;Lion Bridge Compensation;9.38
Comedy Sportz;Live Oak Hefeweizen;9.58
Comedy Sportz;Holy Mountain Misere Au Borinage;9.76
Comedy Sportz;Moonlight Death and Taxes;9.77
Comedy Sportz;Jalapeno Poppers;10.2
Comedy Sportz;Sloppy Joe;10.7
Comedy Sportz;Burger Sliders;11.79
Comedy Sportz;Pigs in a Blanket;11.95
Comedy Sportz;Hot Wings;14.57
Continental;Trilliul Vicinity;5.52
Continental;Summit Extra Pale Ale;6.5
Continental;Toppling Goliath King Sue;6.75
Continental;Original Premium Lager Dog;6.91
Continental;Marz Diliner Weisse;8.26
Continental;Dogfish SeaQuench;9.01
Continental;Moonlight Death and Taxes;9.81
Continental;Potato Skins;10.44
Continental;Maple-Glazed Peanuts;10.98
Continental;Fried Pickles;11.44
Continental;Hot Wings;11.59
Continental;Hot Dogs;14.3
Corner Pub;Michelob ULTRA;5.72
Corner Pub;Suarez Family Palatine Pils;6.38
Corner Pub;Michelob Amber Bock;6.82
Corner Pub;New Glarus Berliner Weiss;7.08
Corner Pub;The Bruery Mocha Wednesday;7.25
Corner Pub;Blue Moon;7.34
Corner Pub;Bell's Two-Hearted Ale;7.53
Corner Pub;Killian's;8.08
Corner Pub;Hefeweizen Doppelbock;9.02
Corner Pub;Zima;9.21
Corner Pub;Original Premium Lager;9.29
Corner Pub;Extra Gold;9.82
Corner Pub;Popcorn;10.14
Corner Pub;Deviled Eggs;11.1
Corner Pub;Maple-Glazed Peanuts;11.46
Corner Pub;Fried Pickles;12.9
Corner Pub;Soft Pretzel;14.35
County Line Pub;Michelob ULTRA;5.35
County Line Pub;Original Premium;5.77
County Line Pub;The Bruery Mocha Wednesday;6.05
County Line Pub;Summit Extra Pale Ale;6.08
County Line Pub;Creamy Dark;6.51
County Line Pub;Hefeweizen Doppelbock;6.87
County Line Pub;Live Oak Hefeweizen;6.96
County Line Pub;Michelob Golden Draft;8.73
County Line Pub;Original Premium Lager;9.51
County Line Pub;Popcorn;10.7
County Line Pub;Maple-Glazed Peanuts;10.75
County Line Pub;Disco Fries;10.97
County Line Pub;Buffalo Wings;14.01
County Line Pub;Soft Pretzel;14.64
Cove Bar & Grill;Southpaw Light;5.58
Cove Bar & Grill;Michelob Amber Bock;5.87
Cove Bar & Grill;New Glarus Berliner Weiss;6.91
Cove Bar & Grill;Sauza Diablo;8.22
Cove Bar & Grill;Creamy Dark;8.91
Cove Bar & Grill;Grimm Afterimage;8.94
Cove Bar & Grill;Burial Griddle;8.97
Cove Bar & Grill;Budweiser;9.66
Cove Bar & Grill;Deviled Eggs;10.05
Cove Bar & Grill;Burger Sliders;10.67
Cove Bar & Grill;Chilli;11.35
Cove Bar & Grill;Onion Rings;12.46
Cove Bar & Grill;Nachos;13.55
Crystal Room;Hefeweizen;5.35
Crystal Room;New Glarus Berliner Weiss;6.4
Crystal Room;Brooklyn Bel Air Sour;6.4
Crystal Room;New Belgium La Folie;8.28
Crystal Room;Holy Mountain Misere Au Borinage;8.96
Crystal Room;Zima Citrus;9.57
Crystal Room;Potato Skins;10.51
Crystal Room;Pizza;10.52
Crystal Room;Sloppy Joe;10.86
Crystal Room;Burger Sliders;11.43
Crystal Room;Pigs in a Blanket;11.65
Crystal Room;Cheese Fries;11.96
Crystal Room;Buffalo Wings;12.54
Crystal Room;Onion Rings;12.57
Crystal Room;Soft Pretzel;13.34
Cup O' Joe-Short North;Hefeweizen;6.26
Cup O' Joe-Short North;Michelob Amber Bock;6.87
Cup O' Joe-Short North;Summit Extra Pale Ale;6.91
Cup O' Joe-Short North;Toppling Goliath King Sue;7.28
Cup O' Joe-Short North;J. Wakefield Miami Madness;8.63
Cup O' Joe-Short North;Original Premium Lager Dog;8.87
Cup O' Joe-Short North;Killian's;9.68
Cup O' Joe-Short North;Deviled Eggs;10.95
Cup O' Joe-Short North;Disco Fries;11.68
Cup O' Joe-Short North;Pizza;12.18
Cup O' Joe-Short North;Sloppy Joe;12.7
Cup O' Joe-Short North;Cheese Fries;12.84
Cup O' Joe-Short North;Quesadillas;13.35
Cup O' Joe-Short North;Soft Pretzel;14.99
Dark Horse Tavern;Hefeweizen;5.27
Dark Horse Tavern;New Glarus Berliner Weiss;5.27
Dark Horse Tavern;Brooklyn Bel Air Sour;5.6
Dark Horse Tavern;Original Premium;6.61
Dark Horse Tavern;Trilliul Vicinity;6.62
Dark Horse Tavern;Carton Boat Beer;6.92
Dark Horse Tavern;Tired Hands SaisonHands;7.08
Dark Horse Tavern;Toppling Goliath King Sue;7.67
Dark Horse Tavern;Creamy Dark;7.68
Dark Horse Tavern;Michelob Golden Draft Light;7.69
Dark Horse Tavern;Original Premium Lager Dog;7.84
Dark Horse Tavern;Blue Moon;7.9
Dark Horse Tavern;Sun King Afternoon Delight;8.53
Dark Horse Tavern;Bell's Two-Hearted Ale;9.09
Dark Horse Tavern;Killian's;9.35
Dark Horse Tavern;Bud;9.39
Dark Horse Tavern;Hefeweizen Doppelbock;9.44
Dark Horse Tavern;Grimm Afterimage;9.57
Dark Horse Tavern;Original Premium Lager;9.65
Dark Horse Tavern;Moonlight Death and Taxes;9.9
Dark Horse Tavern;Potato Skins;10.39
Dark Horse Tavern;French Fries;11.05
Dark Horse Tavern;Jalapeno Poppers;12.47
Dark Horse Tavern;Pizza;12.69
Dark Horse Tavern;Sloppy Joe;12.7
Dark Horse Tavern;Mozzarella Sticks;12.73
Dark Horse Tavern;Hot Wings;13.54
Dark Horse Tavern;Nachos;13.76
Dead Horse;Original Premium;5.66
Dead Horse;Trilliul Vicinity;6.33
Dead Horse;Carton Boat Beer;6.78
Dead Horse;Summit Extra Pale Ale;7.2
Dead Horse;Melvin 2x4 Double IPA;7.37
Dead Horse;Toppling Goliath King Sue;7.76
Dead Horse;Creamy Dark;7.81
Dead Horse;Original Premium Lager Dog;8.13
Dead Horse;Bell's Two-Hearted Ale;8.32
Dead Horse;Bud;8.6
Dead Horse;Allagash White;8.65
Dead Horse;Grimm Afterimage;8.74
Dead Horse;Port Brewing Board Meeting;8.96
Dead Horse;Zima;9.05
Dead Horse;Extra Gold;9.46
Dead Horse;Moonlight Death and Taxes;9.96
Dead Horse;Popcorn;11.15
Dead Horse;Jalapeno Poppers;11.59
Dead Horse;Roasted Cauliflower;11.95
Dead Horse;Artichoke Dip;12.05
Dead Horse;Sloppy Joe;12.12
Dead Horse;Burger Sliders;12.2
Dead Horse;Pigs in a Blanket;13.13
Dead Horse;Fried Pickles;13.86
Dead Horse;Mozzarella Sticks;13.95
Dead Horse;Cheese Fries;14.19
Dean S. Karlan;Hefeweizen;5.01
Dean S. Karlan;Southpaw Light;5.41
Dean S. Karlan;Suarez Family Palatine Pils;5.74
Dean S. Karlan;Michelob Amber Bock;5.78
Dean S. Karlan;Original Premium;5.93
Dean S. Karlan;Sauza Diablo;6.0
Dean S. Karlan;Tired Hands SaisonHands;6.08
Dean S. Karlan;Marz Diliner Weisse;6.96
Dean S. Karlan;Devils Backbone Vienna Lager;7.08
Dean S. Karlan;Dogfish SeaQuench;7.26
Dean S. Karlan;Live Oak Hefeweizen;8.08
Dean S. Karlan;Allagash White;8.61
Dean S. Karlan;Michelob Golden Draft;9.03
Dean S. Karlan;Grimm Afterimage;9.28
Dean S. Karlan;Holy Mountain Misere Au Borinage;9.69
Dean S. Karlan;Extra Gold;9.85
Dean S. Karlan;Disco Fries;10.24
Dean S. Karlan;Artichoke Dip;11.66
Dean S. Karlan;Sloppy Joe;13.21
Dean S. Karlan;Pigs in a Blanket;13.45
Dean S. Karlan;Buffalo Wings;13.51
Dean S. Karlan;Onion Rings;13.55
Dean S. Karlan;Nachos;13.56
Dean S. Karlan;Quesadillas;14.81
Decades;ICEHOUSE;5.1
Decades;Southpaw Light;5.38
Decades;Michelob ULTRA;5.66
Decades;Brooklyn Bel Air Sour;6.3
Decades;Original Premium;6.62
Decades;Original Premium Lager Dog;6.71
Decades;Sun King Afternoon Delight;7.0
Decades;Lion Bridge Compensation;7.75
Decades;Bud;9.02
Decades;Dogfish SeaQuench;9.07
Decades;Chuckanut Kolsch Style;9.74
Decades;Potato Skins;10.21
Decades;French Fries;10.29
Decades;Popcorn;10.36
Decades;Pizza;11.4
Decades;Shrimp Cocktail;11.78
Decades;Sloppy Joe;11.8
Decades;Fried Pickles;11.88
Decades;Mozzarella Sticks;12.83
Decades;Cheese Fries;14.66
Decades;Buffalo Wings;14.93
Deja Vu Ii;Hefeweizen;5.33
Deja Vu Ii;ICEHOUSE;5.61
Deja Vu Ii;Suarez Family Palatine Pils;5.77
Deja Vu Ii;New Glarus Berliner Weiss;5.86
Deja Vu Ii;Original Premium;6.01
Deja Vu Ii;The Bruery Mocha Wednesday;6.27
Deja Vu Ii;Carton Boat Beer;6.52
Deja Vu Ii;Summit Extra Pale Ale;6.67
Deja Vu Ii;Melvin 2x4 Double IPA;6.69
Deja Vu Ii;J. Wakefield Miami Madness;6.94
Deja Vu Ii;Blue Moon;7.06
Deja Vu Ii;Sun King Afternoon Delight;7.32
Deja Vu Ii;Marz Diliner Weisse;7.39
Deja Vu Ii;Bell's Two-Hearted Ale;7.56
Deja Vu Ii;Lion Bridge Compensation;7.84
Deja Vu Ii;Live Oak Hefeweizen;8.22
Deja Vu Ii;Port Brewing Board Meeting;8.71
Deja Vu Ii;Zima Citrus;8.86
Deja Vu Ii;Extra Gold;9.65
Deja Vu Ii;Moonlight Death and Taxes;9.69
Deja Vu Ii;Deviled Eggs;10.13
Deja Vu Ii;Jalapeno Poppers;10.24
Deja Vu Ii;Shrimp Cocktail;10.9
Deja Vu Ii;Chilli;11.74
Deja Vu Ii;Hot Wings;11.98
Deja Vu Ii;Hot Dogs;12.62
Deja Vu Ii;Quesadillas;13.84
Deja Vu Ii;Soft Pretzel;13.93
Desperados;Stolichnaya Citrona;5.45
Desperados;Original Premium Lager Dog;5.92
Desperados;Sun King Afternoon Delight;6.85
Desperados;Allagash White;7.7
Desperados;Grimm Afterimage;8.57
Desperados;Holy Mountain Misere Au Borinage;9.08
Desperados;French Fries;10.9
Desperados;Deviled Eggs;10.99
Desperados;Disco Fries;12.65
Desperados;Roasted Cauliflower;13.29
Desperados;Artichoke Dip;13.85
Desperados;Sloppy Joe;13.86
Desperados;Quesadillas;14.42
Deviney's Iron Horse Pub;Southpaw Light;5.19
Deviney's Iron Horse Pub;New Glarus Berliner Weiss;5.88
Deviney's Iron Horse Pub;Original Premium;6.25
Deviney's Iron Horse Pub;Melvin 2x4 Double IPA;6.58
Deviney's Iron Horse Pub;Toppling Goliath King Sue;7.15
Deviney's Iron Horse Pub;Stolichnaya Citrona;8.1
Deviney's Iron Horse Pub;Bell's Two-Hearted Ale;8.2
Deviney's Iron Horse Pub;Killian's;8.39
Deviney's Iron Horse Pub;Lion Bridge Compensation;8.58
Deviney's Iron Horse Pub;Allagash White;8.59
Deviney's Iron Horse Pub;Russian River STS;8.69
Deviney's Iron Horse Pub;Original Premium Lager;9.08
Deviney's Iron Horse Pub;Extra Gold;9.71
Deviney's Iron Horse Pub;Moonlight Death and Taxes;9.91
Deviney's Iron Horse Pub;Popcorn;12.42
Deviney's Iron Horse Pub;Maple-Glazed Peanuts;12.43
Deviney's Iron Horse Pub;Artichoke Dip;12.67
Deviney's Iron Horse Pub;Chilli;13.12
Deviney's Iron Horse Pub;Mozzarella Sticks;13.26
Deviney's Iron Horse Pub;Cheese Fries;13.43
Deviney's Iron Horse Pub;Hot Wings;14.0
Deviney's Iron Horse Pub;Hot Dogs;14.3
Deviney's Iron Horse Pub;Nachos;14.39
Deviney's Iron Horse Pub;Soft Pretzel;14.8
Diamond Jim's;Tired Hands SaisonHands;6.02
Diamond Jim's;Creamy Dark;6.12
Diamond Jim's;Michelob Golden Draft Light;6.25
Diamond Jim's;Stolichnaya Citrona;7.33
Diamond Jim's;Original Premium Lager Dog;7.78
Diamond Jim's;Sun King Afternoon Delight;8.45
Diamond Jim's;Lion Bridge Compensation;9.51
Diamond Jim's;Devils Backbone Vienna Lager;9.59
Diamond Jim's;Allagash White;9.66
Diamond Jim's;Holy Mountain Misere Au Borinage;9.98
Diamond Jim's;Popcorn;11.33
Diamond Jim's;Jalapeno Poppers;11.99
Diamond Jim's;Pizza;12.38
Diamond Jim's;Roasted Cauliflower;12.99
Diamond Jim's;Chilli;13.01
Diamond Jim's;Cheese Fries;13.78
Diamond Jim's;Hot Wings;14.75
Diamond Jim's;Onion Rings;14.76
Diamond Jim's;Nachos;14.85
Dogpatch Tavern;Summit Extra Pale Ale;5.72
Dogpatch Tavern;Tired Hands SaisonHands;6.53
Dogpatch Tavern;Melvin 2x4 Double IPA;6.91
Dogpatch Tavern;J. Wakefield Miami Madness;7.2
Dogpatch Tavern;Grimm Afterimage;8.75
Dogpatch Tavern;Port Brewing Board Meeting;9.63
Dogpatch Tavern;French Fries;10.04
Dogpatch Tavern;Pizza;10.3
Dogpatch Tavern;Chilli;11.24
Dogpatch Tavern;Pigs in a Blanket;12.23
Dogpatch Tavern;Fried Pickles;12.32
Dogpatch Tavern;Mozzarella Sticks;14.51
Driftwood Inn;Toppling Goliath King Sue;6.69
Driftwood Inn;J. Wakefield Miami Madness;7.73
Driftwood Inn;Michelob Golden Draft Light;8.94
Driftwood Inn;New Belgium La Folie;9.25
Driftwood Inn;Extra Gold;9.39
Driftwood Inn;Popcorn;10.08
Driftwood Inn;Deviled Eggs;10.63
Driftwood Inn;Roasted Cauliflower;11.8
Driftwood Inn;Shrimp Cocktail;13.6
Driftwood Inn;Burger Sliders;13.63
Driftwood Inn;Hot Wings;13.9
East Atlanta Restaurant & Lng;Michelob ULTRA;5.41
East Atlanta Restaurant & Lng;Michelob Amber Bock;5.42
East Atlanta Restaurant & Lng;New Glarus Berliner Weiss;5.86
East Atlanta Restaurant & Lng;Melvin 2x4 Double IPA;6.23
East Atlanta Restaurant & Lng;Toppling Goliath King Sue;6.49
East Atlanta Restaurant & Lng;Creamy Dark;6.92
East Atlanta Restaurant & Lng;Original Premium Lager Dog;7.08
East Atlanta Restaurant & Lng;Bud;7.68
East Atlanta Restaurant & Lng;Burial Griddle;8.22
East Atlanta Restaurant & Lng;Chuckanut Kolsch Style;9.49
East Atlanta Restaurant & Lng;Potato Skins;10.48
East Atlanta Restaurant & Lng;Roasted Cauliflower;10.77
East Atlanta Restaurant & Lng;Shrimp Cocktail;11.17
East Atlanta Restaurant & Lng;Artichoke Dip;11.49
East Atlanta Restaurant & Lng;Fried Pickles;12.64
East Atlanta Restaurant & Lng;Nachos;14.19
East Atlanta Restaurant & Lng;Quesadillas;14.39
East Atlanta Restaurant & Lng;Soft Pretzel;14.49
Eddie C's Pub & Billiards;Hefeweizen;5.38
Eddie C's Pub & Billiards;Southpaw Light;5.59
