"Name";"State";"City";"Address";"Phone";"License";"Open Time";"Close Time"
"Tags";"TX";"San Antonio";"470-3613 Euismod St.";"(878) 252-1782";411680;6;20
"Tasty World";"MO";"Springfield";"477-8698 Id St.";"(405) 164-9585";410982;6;23
"Tequila Chica's";"NE";"Omaha";"9432 Non, Street";"(753) 661-2825";100403;6;22
"Terry's State Saloon";"ID";"Boise";"227-2533 Risus. Ave";"(168) 672-2307";160371;8;24
"The Ancient Egyptian Society";"CA";"San Diego";"P.O. Box 205, 8292 Lorem. Road";"(157) 836-6021";230221;7;21
"The Brewery";"AL";"Birmingham";"667-9085 Diam Rd.";"(537) 468-0334";791590;9;20
"The Harp And Shamrock Tavern";"OR";"Eugene";"4621 Libero St.";"(514) 652-5248";198085;6;23
"The Johnson Beer Company";"ME";"Portland";"6547 Sed, Rd.";"(611) 859-5487";317419;9;24
"The Wine Shop";"OH";"Toledo";"1868 Mattis Ave";"(965) 787-6555";248357;9;22
"The World Wide Wine Tour";"TX";"Fort Worth";"P.O. Box 858, 4636 Id St.";"(908) 902-0489";791333;8;20
"Thinking Man Tavern";"ID";"Meridian";"Ap #991-5184 Sociis Road";"(103) 181-7621";682366;10;24
"Thirsty Camel Saloon";"MA";"Lowell";"921-4068 Augue Av.";"(770) 263-6436";740004;10;23
"This Little Piggi Co.";"IL";"Naperville";"1647 Interdum. Av.";"(391) 863-1925";941793;9;20
"Three Son's Italian Restaurant";"DE";"Newark";"P.O. Box 241, 691 Sagittis Rd.";"(307) 816-2448";530311;10;22
"Time Out Bar & Grill";"CA";"San Diego";"6309 Sed Street";"(523) 768-2679";370587;7;20
"Top Of The Line";"TX";"Dallas";"188-7651 Ornare, Rd.";"(762) 627-0143";423215;6;21
"Top Rail Ballroom";"ME";"Portland";"703-5810 Est, Street";"(218) 533-6151";760781;6;20
"Triple Crown";"KS";"Overland Park";"597-9114 Sed St.";"(396) 291-0157";776517;10;20
"Trophy's Sports Bar & Family";"ID";"Boise";"718-4598 Velit Rd.";"(668) 389-8163";871546;6;23
"Tropicana";"AR";"Jonesboro";"P.O. Box 843, 1283 Quis Avenue";"(900) 760-3861";623524;7;20
"Tumbleweed Texas";"VT";"South Burlington";"676-1337 Phasellus St.";"(829) 676-3562";761825;6;22
"Tumbleweeds";"AZ";"Glendale";"P.O. Box 699, 3209 Tellus Road";"(573) 178-9299";979844;10;22
"Twenty-Two 18 Restaurant & Nig";"UT";"West Valley City";"Ap #945-2584 Imperdiet St.";"(763) 244-6139";812054;8;20
"Two Bucks Saloon";"IL";"Joliet";"5582 Cursus Ave";"(854) 735-7670";237283;7;20
"Ugly Dog Saloon";"TN";"Memphis";"563-1092 Libero. Street";"(242) 505-2385";295828;10;21
"Union Street Station";"MO";"Columbia";"9563 Tellus Av.";"(559) 381-1280";410843;8;21
"Venue";"AR";"Fort Smith";"7234 Faucibus Street";"(117) 654-1473";642546;9;24
"Vickery's Bar & Grill";"HI";"Honolulu";"P.O. Box 296, 6040 In Ave";"(968) 408-1737";382687;10;24
"War Eagle Supper Club";"NE";"Omaha";"760-8423 Amet, Road";"(325) 707-9291";659457;9;20
"Water Tank";"VT";"Essex";"950-9150 Varius Rd.";"(895) 669-6072";402450;10;21
"Webster Hall";"PA";"Pittsburgh";"8894 Suspendisse Road";"(736) 347-6603";745734;8;22
"Western Bar & Cafe";"OH";"Columbus";"P.O. Box 534, 6573 Euismod Avenue";"(861) 325-9151";562981;8;24
"Westfair Communications Inc";"VA";"Richmond";"9219 Vestibulum Street";"(877) 939-7329";780678;9;22
"Whiskey Junction";"WY";"Wyoming";"736-3853 Est. St.";"(990) 641-5110";679033;7;24
"White Horse Tavern";"IN";"Gary";"5850 Placerat, Ave";"(138) 285-9280";471345;10;21
"Wild Goose Bar & Grill";"MO";"Kansas City";"6686 Taciti Ave";"(788) 555-1920";958741;9;21
"Wilhagan's";"UT";"Provo";"Ap #312-7800 Est Rd.";"(329) 173-2828";410832;8;20
"Winking Lizard Inc";"AK";"Juneau";"569-3216 Justo Avenue";"(579) 437-6544";201419;6;23
"Winking Lizzard Tavern";"VT";"Montpelier";"1929 Rhoncus. St.";"(553) 193-9720";404108;7;23
"Wish's Club";"MI";"Lansing";"674-6609 Nunc Rd.";"(384) 425-5361";367767;9;24
"Wolfpack Ventures Inc";"WA";"Vancouver";"7180 Facilisis St.";"(503) 389-6677";795592;9;23
"Woody's Bar & Grill";"IN";"Indianapolis";"698-4555 Auctor St.";"(392) 257-2854";663775;10;22
"Young's";"HI";"Hilo";"P.O. Box 384, 5323 Pretium St.";"(857) 527-5030";106280;6;23
"Zanies Comedy Night Club";"KY";"Louisville";"P.O. Box 837, 3534 Dictum Avenue";"(235) 961-6882";661884;9;20
